accuracy,f1,auc,sensitivity,specificity
0.7159090909090909,0.7138848649730889,0.7441619097042035,0.8292682926829268,0.6170212765957447
0.6896551724137931,0.6811285266457681,0.7635206786850477,0.8780487804878049,0.5217391304347826
0.6551724137931034,0.6535145888594165,0.7343584305408273,0.5853658536585366,0.717391304347826
0.6436781609195402,0.6442442753203036,0.6930851063829788,0.65,0.6382978723404256
0.5287356321839081,0.5194559837543281,0.548404255319149,0.375,0.6595744680851063
0.7586206896551724,0.7561213419574561,0.8250000000000001,0.9,0.6382978723404256
0.6666666666666666,0.6658735404274069,0.7654255319148936,0.75,0.5957446808510638
0.6091954022988506,0.6098157270571063,0.6898936170212766,0.625,0.5957446808510638
0.5862068965517241,0.5808143800440205,0.7063829787234042,0.725,0.46808510638297873
0.6551724137931034,0.6538040503557745,0.6914893617021276,0.75,0.574468085106383
