fold,accuracy,f1,auc,sensitivity,specificity
1,0.6228571428571429,0.6199749373433584,0.6221434200157604,0.5308641975308642,0.7021276595744681
2,0.5632183908045977,0.5505120167189133,0.535908668525156,0.7530864197530864,0.3978494623655914
3,0.5804597701149425,0.5808349178614864,0.5525023231116422,0.5679012345679012,0.5913978494623656
4,0.5632183908045977,0.5621791219393608,0.5293882978723404,0.6375,0.5
5,0.603448275862069,0.5880965444887278,0.595877659574468,0.4,0.776595744680851
