fold,accuracy,f1,auc,sensitivity,specificity
1,0.6,0.6001567398119122,0.6170212765957447,0.6419753086419753,0.5638297872340425
2,0.5344827586206896,0.5342817514084821,0.5356431700517721,0.49382716049382713,0.5698924731182796
3,0.6206896551724138,0.6209410538633122,0.6486127704765698,0.6049382716049383,0.6344086021505376
4,0.5172413793103449,0.5172413793103449,0.5164893617021277,0.5625,0.4787234042553192
5,0.5804597701149425,0.5791422493110325,0.5753989361702128,0.6625,0.5106382978723404
