fold,accuracy,f1,auc,sensitivity,specificity
1,0.5142857142857142,0.5140622432547899,0.5013133701076964,0.4691358024691358,0.5531914893617021
2,0.5747126436781609,0.5751631002981231,0.580114164343555,0.5679012345679012,0.5806451612903226
3,0.5919540229885057,0.5893999349058704,0.6268418956591,0.691358024691358,0.5053763440860215
4,0.5287356321839081,0.5291092561541639,0.5335106382978724,0.5625,0.5
5,0.5402298850574713,0.5409596788907134,0.542154255319149,0.55,0.5319148936170213
