Model,Accuracy,F1_Weighted,AUC_ROC,Sensitivity,Specificity
Baseline GAT (NB04),0.542,0.3891,0.4665,0.0164,1.0
Improved GAT (NB07),0.4961832061068702,0.48399605579498994,0.4957845433255269,0.32786885245901637,0.6428571428571429
